node_1|node_2|edge|chunk_id
beratungshilfegesetz|prozesskostenhilfe|Beide Begriffe sind in der Einleitung erwähnt und sind die Hauptthemen des Textes.|72dd647f52cd450596811bd2c570fac4
menschen|streit|Menschen können zusammenleben oder zusammenarbeiten und dabei kann es zu Streit kommen.|72dd647f52cd450596811bd2c570fac4
streit|nachbarn|Streit kann zum Beispiel mit den Nachbarn entstehen.|72dd647f52cd450596811bd2c570fac4
streit|vermieterin|Streit kann auch mit der Vermieterin entstehen.|72dd647f52cd450596811bd2c570fac4
streit|arbeitgeber|Streit kann auch mit dem Arbeitgeber entstehen.|72dd647f52cd450596811bd2c570fac4
streit|familie|Streit kann auch innerhalb der eigenen Familie entstehen.|72dd647f52cd450596811bd2c570fac4
rechtlichen beistand|beratungshilfe|Beratungshilfe ermöglicht rechtlichen Beistand in Fällen, in denen man miteinander nicht mehr ins Gespräch kommt.|72dd647f52cd450596811bd2c570fac4
beratungshilfe|prozesskostenhilfe|Beratungshilfe und Prozesskostenhilfe bieten rechtlichen Beistand außerhalb und innerhalb eines gerichtlichen Verfahrens.|72dd647f52cd450596811bd2c570fac4
außergerichtliche einigung|gericht|Wenn außergerichtliche Einigungsversuche scheitern, wird ein Gericht mit der Sache befasst.|72dd647f52cd450596811bd2c570fac4
prozesskostenhilfe|prozessführung|Die Kosten der Prozessführung werden ganz oder teilweise vom Staat getragen, falls notwendig.|72dd647f52cd450596811bd2c570fac4
beratungs- und prozesskostenhilfe|streit|Beratungs- und Prozesskostenhilfe dienen nicht als Einladung zum Streit.|72dd647f52cd450596811bd2c570fac4
recht|freie gesellschaft|Eine freiheitliche Gesellschaft wird durch das Recht geregelt.|72dd647f52cd450596811bd2c570fac4
bürgerinnen|rechte durchsetzen|Alle Bürgerinnen und Bürger haben die Möglichkeit, unabhängig von ihren finanziellen Verhältnissen, ihre Rechte durchzusetzen.|72dd647f52cd450596811bd2c570fac4
rechtsbeistand|beratungs- und prozesskostenhilfe|Beratungs- und Prozesskostenhilfe leisten einen wichtigen Beitrag zur Durchsetzung von Rechten durch Rechtsbeistand.|72dd647f52cd450596811bd2c570fac4
regelungen|beratungshilfe|Detailierte Regelungen zur Beratungshilfe können im weiteren Verlauf des Textes nachgelesen werden.|72dd647f52cd450596811bd2c570fac4
regelungen|prozesskostenhilfe|Detailierte Regelungen zur Prozesskostenhilfe können im weiteren Verlauf des Textes nachgelesen werden.|72dd647f52cd450596811bd2c570fac4
motor|defekt|The motor is defective.|693d6334ba794b1cbbbcfe7899a815fc
wagen|kilometerzähler|The odometer indicates 30,000 km, but the car had actually been driven 130,000 km.|693d6334ba794b1cbbbcfe7899a815fc
herr fröhlich|herr neulack|Herr Fröhlich feels deceived by Herr Neulack as he confirmed the low mileage during the sales negotiations.|693d6334ba794b1cbbbcfe7899a815fc
herr fröhlich|wagen|Herr Fröhlich wants to return the car and get his money back.|693d6334ba794b1cbbbcfe7899a815fc
herr neulack|auto|Herr Neulack refuses to take the car back, claiming that he was also unaware of the actual mileage.|693d6334ba794b1cbbbcfe7899a815fc
herr fröhlich|herr ehrlich|Herr Fröhlich tells Herr Ehrlich about the conversation with Herr Neulack, who advises Herr Fröhlich to go to a lawyer.|693d6334ba794b1cbbbcfe7899a815fc
beratungshilfegesetz|herr fröhlich|Herr Fröhlich's colleague informs him about the Beratungshilfegesetz, suggesting that he can likely get legal advice for free due to his low income.|693d6334ba794b1cbbbcfe7899a815fc
herr fröhlich|anwalt|Herr Fröhlich cannot afford a lawyer at the moment.|693d6334ba794b1cbbbcfe7899a815fc
rechtsrat|rechtsberatung|Seek advice and look for compromise possibilities. Usually, your counterpart is not as malicious as it may seem.|693d6334ba794b1cbbbcfe7899a815fc
schiedsstellen|handelskammern|Inform yourself about out-of-court arbitration bodies, e.g. at the chambers of commerce.|693d6334ba794b1cbbbcfe7899a815fc
beratungshilfe|rechtsanwalt|Beratungshilfe allows getting expert legal advice and representation if necessary.|693d6334ba794b1cbbbcfe7899a815fc
zivilrechts|beratungshilfe|Beratungshilfe is granted in all legal matters, including civil law (e.g. purchase law, rental matters, etc.).|693d6334ba794b1cbbbcfe7899a815fc
arbeitsrechts|beratungshilfe|One can get Beratungshilfe in labor law matters (e.g. in case of termination of the employment relationship).|693d6334ba794b1cbbbcfe7899a815fc
verwaltungsrechts|beratungshilfe|Beratungshilfe is provided in administrative law matters (e.g. BAFöG, tax law, school and university law, commercial law).|693d6334ba794b1cbbbcfe7899a815fc
sozialrechts|beratungshilfe|Assistance is available in social law matters (e.g. basic security for employed persons (citizen's pay), matters of statutory health, pension and accident insurance).|693d6334ba794b1cbbbcfe7899a815fc
steuerrechts|beratungshilfe|Legal aid is provided in tax law matters (e.g. matters of child allowance according to the Income Tax Act).|693d6334ba794b1cbbbcfe7899a815fc
verfassungsrechts|beratungshilfe|Beratungshilfe is granted in constitutional law matters.|693d6334ba794b1cbbbcfe7899a815fc
verfassungsbeschwerden|grundrechtsverletzungen|Verfassungsbeschwerden wegen Grundrechtsverletzungen|c7a3d5e11ed84d5683bfeb7d11ad4841
ausländisches recht|beratungshilfe|Beratungshilfe aber nur dann, wenn der Sachverhalt eine Beziehung zum Inland hat|c7a3d5e11ed84d5683bfeb7d11ad4841
europäischen union|ansprüche|Ansprüche gegen eine Person, die in einem anderen EU­Mitgliedstaat wohnt|c7a3d5e11ed84d5683bfeb7d11ad4841
beratungshilfe|rechtsberatung|Beratungshilfe wird gewährt für die vorprozessuale Rechtsberatung im Hinblick auf eine außergerichtliche Streitbeilegung|c7a3d5e11ed84d5683bfeb7d11ad4841
beratungshilfe|unterstützung|Beratungshilfe wird gewährt für die Unterstützung bei Anträgen auf grenzüberschreitende Prozesskostenhilfe|c7a3d5e11ed84d5683bfeb7d11ad4841
strafrechtlichen angelegenheiten|beratungshilfe|In strafrechtlichen Angelegenheiten kann man sich zwar im Wege der Beratungshilfe beraten lassen, erhält jedoch keine Vertretung oder Verteidigung|c7a3d5e11ed84d5683bfeb7d11ad4841
strafprozessordnung|vorschriften|spezielle Vorschriften in der Strafprozessordnung für die Vertretung oder Verteidigung in Strafsachen|c7a3d5e11ed84d5683bfeb7d11ad4841
rechtspfleger|mutwillen|Rechtspfleger oder die Rechtspflegerin beim Amtsgericht prüft, ob kein Mutwillen vorliegen|c7a3d5e11ed84d5683bfeb7d11ad4841
person|rechtsrat|wirtschaftlich besser gestellte Person auf eigene Kosten Rechtsrat einholen oder sich vertreten lassen würde|c7a3d5e11ed84d5683bfeb7d11ad4841
behörden|hilfe|Behörden dürfen entweder nicht zur Verfügung stehen oder der rechtsuchenden Person nicht zumutbar sein|c7a3d5e11ed84d5683bfeb7d11ad4841
gewerkschaften|mitglieder|Gewerkschaften beraten ihre Mitglieder in ihrem Aufgabenbereich|c7a3d5e11ed84d5683bfeb7d11ad4841
mieterverbände|mitglieder|Mieterverbände beraten ihre Mitglieder in ihrem Aufgabenbereich|c7a3d5e11ed84d5683bfeb7d11ad4841
mitglied|vereinigung|Wenn Sie also Mitglied in einer solchen Vereinigung sind, müssen Sie diese Möglichkeiten ausschöpfen|c7a3d5e11ed84d5683bfeb7d11ad4841
amtsgericht|sozialämter|Auskunft und Beratungspflicht gegenüber den Bürgern|64dbb89cd1f64952aa0e08ea7814bff6
amtsgericht|arbeitsagenturen|Auskunft und Beratungspflicht gegenüber den Bürgern|64dbb89cd1f64952aa0e08ea7814bff6
amtsgericht|jugendämter|Auskunft und Beratungspflicht gegenüber den Bürgern|64dbb89cd1f64952aa0e08ea7814bff6
amtsgericht|rechtspfleger/rechtspflegerin|Zuständig für Bera­tungshilfe|64dbb89cd1f64952aa0e08ea7814bff6
rechtspfleger/rechtspflegerin|berechtigungsschein|Auskunft, Hinweis oder Ausstellung eines Berechtigungsscheins|64dbb89cd1f64952aa0e08ea7814bff6
rechtspfleger/rechtspflegerin|erinnerung|Entscheidung zu Erinnerung oder Ablehnung|64dbb89cd1f64952aa0e08ea7814bff6
berechtigungsschein|beratungsperson|Ermöglicht den Zugang zu einer Beratungsperson|64dbb89cd1f64952aa0e08ea7814bff6
beratungsperson|antrag auf bewilligung von beratungshilfe|Erteilung und Beantragung von Beratungshilfe|64dbb89cd1f64952aa0e08ea7814bff6
beratungsperson|prozesskostenhilfe|Beratung und Vertretung in Prozesskosten|64dbb89cd1f64952aa0e08ea7814bff6
rechtsanwältinnen und rechtsanwälte|kammern|Befugt zur Beratungshilfe|64dbb89cd1f64952aa0e08ea7814bff6
rechtsanwältinnen und rechtsanwälte|prozesskostenhilfe|Erhalt und Vertretung in Prozesskosten|64dbb89cd1f64952aa0e08ea7814bff6
rechtsanwältinnen und rechtsanwälte|erinnerung|Entscheidung zu Erinnerung oder Ablehnung|64dbb89cd1f64952aa0e08ea7814bff6
rechtsbeistände|prozesskostenhilfe|Erhalt und Vertretung in Prozesskosten|64dbb89cd1f64952aa0e08ea7814bff6
steuerberaterinnen und steuerberater|prozesskostenhilfe|Erhalt und Vertretung in steuerrechtlichen Prozesskosten|64dbb89cd1f64952aa0e08ea7814bff6
wirtschaftsprüferinnen und wirtschaftsprüfer|prozesskostenhilfe|Erhalt und Vertretung in steuerrechtlichen Prozesskosten|64dbb89cd1f64952aa0e08ea7814bff6
buchprüfer/innen|prozesskostenhilfe|Erhalt und Vertretung in steuerrechtlichen Prozesskosten|64dbb89cd1f64952aa0e08ea7814bff6
rentenberaterinnen und rentenberater|prozesskostenhilfe|Erhalt und Vertretung in Rentenangelegenheiten|64dbb89cd1f64952aa0e08ea7814bff6
öffentlichen rechtsauskunfts­ und vergleichsstellen (öra)|auskunft|Öffentliche Rechtsberatung in Hamburg|64dbb89cd1f64952aa0e08ea7814bff6
arbeitnehmerkammern|auskunft|Öffentliche Rechtsberatung in Bremen|64dbb89cd1f64952aa0e08ea7814bff6
amtsgericht|rechtanwalt/rechtsanwältin|Besuch einer Beratungsperson oder Rechtsanwalt zur Beratungshilfe|64dbb89cd1f64952aa0e08ea7814bff6
gerichtskosten|prozesskostenhilfe|Kostendeckung für Gerichtskosten|64dbb89cd1f64952aa0e08ea7814bff6
erwerbstätigkeit|bruttoeinkommen|Erwerbstätigkeit ist der Ausgangspunkt für das Bruttoeinkommen der rechtsuchenden Partei.|4700475188ef4b6bab055f6615ac1537
bruttoeinkommen|kindergeld|Das Kindergeld zählt grundsätzlich auch zum Bruttoeinkommen der rechtsuchenden Partei, wenn dieser es ausgezahlt bekommt.|4700475188ef4b6bab055f6615ac1537
ehegatte|erwerbseinkommen|Das Erwerbseinkommen des Ehegatten/der Ehegattin oder des eingetragenen Lebenspartners/der eingetragenen Lebenspartnerin ist nicht dem Einkommen der rechtsuchenden Partei hinzuzurechnen.|4700475188ef4b6bab055f6615ac1537
bruttoeinkommen|steuern|Von dem Bruttoeinkommen werden zunächst Steuern und Vorsorgeaufwendungen abgezogen.|4700475188ef4b6bab055f6615ac1537
freibetrag|partei|Der Freibetrag von 552 € wird für die Partei abgesetzt.|ee779169c73446e2937dc9aca1a69d53
freibetrag|ehegatten/ehegattin|Ebenfalls wird ein Freibetrag von 552 € für den Ehegatten/die Ehegattin abgesetzt. Dieser Freibetrag mindert sich jedoch um eigenes Einkommen des Ehegatten/der Ehegattin.|ee779169c73446e2937dc9aca1a69d53
freibetrag|lebenspartner/lebenspartnerin|Ein Freibetrag von 552 € wird auch für den Lebenspartner/die Lebenspartnerin nach dem Lebenspartnerschaftsgesetz abgesetzt. Der Freibetrag mindert sich jedoch um eigenes Einkommen des eingetragenen Lebenspartners/der eingetragenen Lebenspartnerin.|ee779169c73446e2937dc9aca1a69d53
freibetrag|unterhaltsberechtigte kind|Es gibt zusätzlich einen Freibetrag für jedes unterhaltsberechtigte Kind abhängig von seinem Alter, z. B. 442 € für Erwachsene, 462 € für Jugendliche, 383 € für Kinder vom 7. bis zum 14. Lebensjahr, und 350 € für Kinder bis zum 6. Lebensjahr. Diese Freibeträge mindern sich jedoch um eigenes Einkommen der Unterhaltsberechtigten.|ee779169c73446e2937dc9aca1a69d53
freibetrag|partei|Zusätzlich wird ein Freibetrag von 251 € für die Partei abgesetzt, wenn sie Einkünfte aus Erwerbstätigkeit erzielt.|ee779169c73446e2937dc9aca1a69d53
wohnkosten|miete, mietnebenkosten, heizung|Die Wohnkosten, einschließlich Miete, Mietnebenkosten und Heizung, werden berücksichtigt.|ee779169c73446e2937dc9aca1a69d53
weitere beträge|besondere belastungen|Eventuell werden weitere Beträge mit Rücksicht auf besondere Belastungen berücksichtigt.|ee779169c73446e2937dc9aca1a69d53
prozesskostenhilfe|einkommen|Das einzusetzende Einkommen ist entscheidend für die Gewährung von Prozesskostenhilfe, mit oder ohne Ratenzahlungsverpflichtung.|dbdba9a3af244fd68072f9688efd2bea
prozesskostenhilfe|sozialhilfe|Das Einkommen ist auch maßgeblich für die Gewährung von Sozialhilfe.|dbdba9a3af244fd68072f9688efd2bea
freibeträge|sozialhilfe|Die Freibeträge werden im Bundesgesetzblatt bekannt gemacht und ändern sich entsprechend der Entwicklung der maßgeblichen Regelsätze für Sozialhilfe.|dbdba9a3af244fd68072f9688efd2bea
freibeträge|einkommen|Es werden Freibeträge für verschiedene Personen und Kinder vom Einkommen abgesetzt.|dbdba9a3af244fd68072f9688efd2bea
vermögen|prozesskostenhilfe|Das Vorhandensein von Vermögen kann zur Begleichung der Prozesskosten einsetzt werden.|dbdba9a3af244fd68072f9688efd2bea
vermögen|ratenzahlungsverpflichtung|Das Vorhandensein von Vermögen kann zu einer Ratenzahlungsverpflichtung führen.|dbdba9a3af244fd68072f9688efd2bea
einkommen|prozesskostenhilfe|Rechtsuchenden Personen mit einem Einkommen von mindestens 20 € wird das Recht eingeräumt, die Prozesskosten in monatlichen Raten zu zahlen.|dbdba9a3af244fd68072f9688efd2bea
freibeträge|einkommen|Die Freibeträge werden bei der Berechnung des einzusetzenden Einkommens berücksichtigt.|dbdba9a3af244fd68072f9688efd2bea
vermögen|prozesskostenhilfe|Das Vorhandensein von Vermögen kann zur Begleichung der Prozesskosten einsetzt werden.|dbdba9a3af244fd68072f9688efd2bea
antrag|prozesskostenhilfe|Man muss beim Prozessgericht einen Antrag stellen, um Prozesskostenhilfe zu erhalten.|dbdba9a3af244fd68072f9688efd2bea
formular|antrag|Dem Antrag sind eine Erklärung über die persönlichen und wirtschaftlichen Verhältnisse sowie entsprechende Belege in Kopie beizufügen.|dbdba9a3af244fd68072f9688efd2bea
formular|erklärung|Für die Erklärung über die persönlichen und wirtschaftlichen Verhältnisse gibt es ein spezifisches Formular.|dbdba9a3af244fd68072f9688efd2bea
formular|partei|Das Formular muss von der Partei sorgfältig und vollständig ausgefüllt werden.|dbdba9a3af244fd68072f9688efd2bea
rechtsbeistand|rechtsanwalt|Rechtsbeistand kann durch einen Rechtsanwalt vertreten werden|264303e0a033464d8cf4d0247b49a8c5
rechtsbeistand|rechtsanwältin|Rechtsbeistand kann durch eine Rechtsanwältin vertreten werden|264303e0a033464d8cf4d0247b49a8c5
rechtsanwalt|rechtsanwältin|Ein Rechtsanwalt oder eine Rechtsanwältin kann in Betracht gezogen werden, wenn anwaltliche Vertretung erforderlich ist|264303e0a033464d8cf4d0247b49a8c5
rechtsanwalt|gericht|Ein Antrag auf Beiordnung des Rechtsanwalts kann gestellt werden|264303e0a033464d8cf4d0247b49a8c5
rechtsanwältin|gericht|Ein Antrag auf Beiordnung der Rechtsanwältin kann gestellt werden|264303e0a033464d8cf4d0247b49a8c5
gericht|raten|Das Gericht kann die Raten herabsetzen oder bestimmen, dass Raten nicht mehr zu zahlen sind, abhängig von den finanziellen Verhältnissen|264303e0a033464d8cf4d0247b49a8c5
gericht|prozesskostenhilfe|Das Gericht kann die Bewilligung der Prozesskostenhilfe nachträglich aufheben und die gesamten Kosten müssen nachgezahlt werden, wenn eine wesentliche Verbesserung der finanziellen Verhältnisse eintritt|264303e0a033464d8cf4d0247b49a8c5
gericht|rechtsanwalt|Das Gericht kann einen Rechtsanwalt zur Vertretung bereiter|264303e0a033464d8cf4d0247b49a8c5
gericht|rechtsanwältin|Das Gericht kann eine Rechtsanwältin zur Vertretung bereite|264303e0a033464d8cf4d0247b49a8c5
prozesskosten|raten|Es wird festgelegt oder erhöht|9df66cc3f4644431a12fbd3907c488b8
prozesskosten|zahlungen|Anordnung von Zahlungen aus dem Vermögen|9df66cc3f4644431a12fbd3907c488b8
gerichtsverfahren|verbesse­rungen der wirtschaftlichen verhält­nisse|Verpflichtung zur unaufgeforderten und unverzüglichen Mitteilung während des Gerichtsverfahrens und vier Jahre über dessen Beendigung hinaus|9df66cc3f4644431a12fbd3907c488b8
gerichtsverfahren|änderung der anschrift|Verpflichtung zur unaufgeforderten und unverzüglichen Mitteilung während des Gerichtsverfahrens und vier Jahre über dessen Beendigung hinaus|9df66cc3f4644431a12fbd3907c488b8
einkünfte|verbesse­rung von mehr als 100 euro (brutto) im monat|Verpflichtung zur Mitteilung von nicht nur einmaligen Verbesserungen von mehr als 100 Euro (brutto) im Monat|9df66cc3f4644431a12fbd3907c488b8
abzüge|verringerung|Verpflichtung zur Mitteilung bei Verringerung der geltend gemachten Abzüge|9df66cc3f4644431a12fbd3907c488b8
wohnkosten|verringerung|Verpflichtung zur Mitteilung bei Verringerung der geltend gemachten Wohnkosten|9df66cc3f4644431a12fbd3907c488b8
zahlungsverpflichtungen|verringerung|Verpflichtung zur Mitteilung bei Verringerung der geltend gemachten Zahlungsverpflichtungen|9df66cc3f4644431a12fbd3907c488b8
belastungen|wegfall|Verpflichtung zur Mitteilung bei Wegfall oder Verringerung besonderer Belastungen|9df66cc3f4644431a12fbd3907c488b8
pflichten|verstoß|Konsequenz bei Verstoß gegen die Mitteilungspflichten|9df66cc3f4644431a12fbd3907c488b8
streitwert|gerichtsgebühren|Kosten im Zusammenhang mit dem Streitwert|9df66cc3f4644431a12fbd3907c488b8
streitwert|anwaltskosten für den eigenen anwalt|Kosten im Zusammenhang mit dem Streitwert|9df66cc3f4644431a12fbd3907c488b8
streitwert|anwaltskosten für den gegenanwalt|Kosten im Zusammenhang mit dem Streitwert|9df66cc3f4644431a12fbd3907c488b8
streitwert|kosten für 2 zeugen|Kosten im Zusammenhang mit dem Streitwert|9df66cc3f4644431a12fbd3907c488b8
sachverständigengutachten|nebenkosten|Sachverständigengutachten and Nebenkosten are both legal cost components in the context.|169f26ebd23749ef8dbe58a282a9a8c4
landgericht|rechtsanwalt|The Landgericht is responsible for cases with a certain value, and representation by a Rechtsanwalt is required at the Landgericht.|169f26ebd23749ef8dbe58a282a9a8c4
rechtsanwalt|prozesskostenhilfe|The Rechtsanwalt applies for Prozesskostenhilfe on behalf of the client.|169f26ebd23749ef8dbe58a282a9a8c4
herr fröhlich|prozess|Herr Fröhlich decides to proceed with the legal process.|169f26ebd23749ef8dbe58a282a9a8c4
prozesskostenhilfe|gericht|The Gericht approves the Prozesskostenhilfe for Herr Fröhlich.|169f26ebd23749ef8dbe58a282a9a8c4
rechtsstreitigkeiten|eu-mitgliedstaaten|Rechtsstreitigkeiten und EU-Mitgliedstaaten sind die zentralen Konzepte dieses Textes und sind miteinander verbunden, da der Text hauptsächlich die rechtlichen Aspekte von Streitigkeiten zwischen EU-Mitgliedstaaten behandelt.|a155de3b4d2947f48a4463fedb8a7721
rechtsstreitigkeiten|prozesskostenhilfe|Der Text diskutiert die Gewährung von Prozesskostenhilfe in Fällen, in denen eine der Parteien in einem anderen EU-Mitgliedstaat wohnt, als eine Möglichkeit, Streitigkeiten zu klären. Dies zeigt eine Verbindung zwischen Rechtsstreitigkeiten und Prozesskostenhilfe.|a155de3b4d2947f48a4463fedb8a7721
rechtsstreitigkeiten|gericht|Die Entscheidung über Prozesskostenhilfe in Fällen von Rechtsstreitigkeiten hängt vom Gericht ab, in dem das Verfahren stattfindet. Dies stellt eine Verbindung zwischen Rechtsstreitigkeiten und Gericht her.|a155de3b4d2947f48a4463fedb8a7721
eu-mitgliedstaaten|prozesskostenhilfe|Die Gewährung von Prozesskostenhilfe hängt davon ab, in welchem EU-Mitgliedstaat die prozessführende Partei ansässig ist. Somit gibt es eine Verbindung zwischen EU-Mitgliedstaaten und Prozesskostenhilfe.|a155de3b4d2947f48a4463fedb8a7721
gericht|prozesskostenhilfe|Die Entscheidung, ob Prozesskostenhilfe bewilligt wird, hängt vom Gericht ab, in dem das Verfahren stattfindet. Dies stellt eine Verbindung zwischen Gericht und Prozesskostenhilfe her.|a155de3b4d2947f48a4463fedb8a7721
prozesskostenhilfe|übermittlungsstelle|Die prozessführende Partei wird von der Übermittlungsstelle unterstützt, die in Deutschland ansässig ist. Somit ergibt sich eine Verbindung zwischen Prozesskostenhilfe und Übermittlungsstelle.|a155de3b4d2947f48a4463fedb8a7721
übermittlungsstelle|empfangsstelle|Die Übermittlungsstelle in Deutschland übermittelt den Antrag an die zuständige Empfangsstelle im Staat des Prozessgerichts. Dadurch besteht eine Verbindung zwischen Übermittlungsstelle und Empfangsstelle.|a155de3b4d2947f48a4463fedb8a7721
herr fröhlich|polen|Herr Fröhlich hat in Polen ein Auto erworben. Das zeigt die Verbindung zwischen Herr Fröhlich und Polen.|a155de3b4d2947f48a4463fedb8a7721
polen|prozesskostenhilfe|Falls ein polnisches Gericht über die Sache entscheidet, kann Herr Fröhlich Prozesskostenhilfe beantragen. Dies stellt eine Verbindung zwischen Polen und Prozesskostenhilfe her.|a155de3b4d2947f48a4463fedb8a7721
deutschland|amtsgericht|Die in Deutschland ansässige Übermittlungsstelle ist das örtlich zuständige Amtsgericht. Somit ergibt sich eine Verbindung zwischen Deutschland und Amtsgericht.|a155de3b4d2947f48a4463fedb8a7721
g|art. 1 abs.|The term 'G' is related to 'Art. 1 Abs.' through the abbreviation in the legal context.|542658d1ffcf4a719f9728ab18e21d10
g|fünf ländern|The term 'G' is related to 'fünf Ländern' as it is applicable in the context of the five joined countries.|542658d1ffcf4a719f9728ab18e21d10
fünf ländern|art. 1 abs.|The term 'fünf Ländern' and 'Art. 1 Abs.' are related as the countries are likely referred to in this particular Article.|542658d1ffcf4a719f9728ab18e21d10
einigvtr|anl. i kap. iii sachg. a abschn. iii nr. 10 einigvtr|EinigVtr is related to Anl. I Kap. III Sachg. A Abschn. III Nr. 10 EinigVtr as per the given context.|a6b497f4e8bf479aaa4c248dd174ad63
einigvtr|art. 1 g v. 23.9.1990 ii 885, 927|EinigVtr is related to Art. 1 G v. 23.9.1990 II 885, 927 as per the given context.|a6b497f4e8bf479aaa4c248dd174ad63
landes berlin|grundgesetz|Landes Berlin is related to Grundgesetz as per the given context.|a6b497f4e8bf479aaa4c248dd174ad63
landes berlin|grundgesetz|Landes Berlin is related to Grundgesetz as per the given context.|a6b497f4e8bf479aaa4c248dd174ad63
iv|nr.|IV is an abbreviation for 'Nummer' which means 'number' in English.|ec9ff280be6541609735f9f067dd8f25
beratungshilfe|rechtsuchende|Die Beratungshilfe wird auf Antrag gewährt, wenn Rechtsuchende die erforderlichen Mittel nach ihren persönlichen und wirtschaftlichen Verhältnissen nicht aufbringen können.|d9fc99f06e2344ecb72c09ffadf3b7e5
beratungshilfe|amtsgericht|Das Amtsgericht entscheidet über den Antrag auf Beratungshilfe.|d9fc99f06e2344ecb72c09ffadf3b7e5
beratungshilfe|beratungspersonen|Die Beratungshilfe wird durch Rechtsanwälte, Rechtsbeistände, Steuerberater, Steuerbevollmächtigte, Wirtschaftsprüfer, vereidigte Buchprüfer sowie Rentenberater gewährt.|d9fc99f06e2344ecb72c09ffadf3b7e5
beratungshilfe|vergütung|Die Bewilligung von Beratungshilfe bewirkt, dass die Beratungsperson gegen Rechtsuchende keinen Anspruch auf Vergütung mit Ausnahme der Beratungshilfegebühr geltend machen kann.|d9fc99f06e2344ecb72c09ffadf3b7e5
amtsgericht|antrag|Das Amtsgericht ist zuständig für die Entscheidung über den Antrag auf Beratungshilfe.|d9fc99f06e2344ecb72c09ffadf3b7e5
rechtsuchende|prozesskostenhilfe|Die Voraussetzungen des Absatzes 1 Nummer 1 sind gegeben, wenn den Rechtsuchenden Prozesskostenhilfe nach den Vorschriften der Zivilprozessordnung ohne einen eigenen Beitrag zu den Kosten zu gewähren wäre.|d9fc99f06e2344ecb72c09ffadf3b7e5
26 s. 41|abl. eu nr.|26 S. 41 is related to ABl. EU Nr. in the context of legal references|7858030b8c1e44f1945a967555968f3c
beratungshilfe|rechtsberatung|Beratungshilfe wird gewährt für die vorprozessuale Rechtsberatung im Hinblick auf eine außergerichtliche Streitbeilegung.|a6bfa226633942058425f7f5f04e3a4e
beratungshilfe|unterstützung|Beratungshilfe wird gewährt für die Unterstützung bei einem Antrag nach § 1077 der Zivilprozessordnung, bis das Ersuchen im Mitgliedstaat des Gerichtsstands eingegangen ist.|a6bfa226633942058425f7f5f04e3a4e
antrag|§ 1077 der zivilprozessordnung|Unterstützung wird gewährt bei einem Antrag nach § 1077 der Zivilprozessordnung, bis das Ersuchen im Mitgliedstaat des Gerichtsstands eingegangen ist.|a6bfa226633942058425f7f5f04e3a4e
ersuchen|mitgliedstaat des gerichtsstands|Unterstützung bei einem Antrag nach § 1077 der Zivilprozessordnung, bis das Ersuchen im Mitgliedstaat des Gerichtsstands eingegangen ist.|a6bfa226633942058425f7f5f04e3a4e
